,text,score,jaehyeong/koelectra-base-v3-generalized-sentiment-analysis,klue/bert-base,matthewburke/korean_sentiment,monologg/koelectra-base-v2-discriminator,skt/kogpt2-base-v2,beomi/kcbert-large
0,알차네요 무엇보다도 빨리들을 수 있어 좋습니다,1,1,1,1,1,-1,-1
1,명불허전 명강사라 그런지 말씀을 참 잘하시네요~,1,1,1,1,1,-1,-1
2,"강추 30년 가까이 일하면서도 놓치고 있었던 것들을 알려주었습니다. 그리고 무조건 교사 탓만 하는 학부모에게 이론적으로 내세울 수 있는 내용을 많이 얻었습니다.
그래서, 매우 만족합니다. 다른 샘들도 꼭 한 번 들어보세요.

역시 아이스크림 연수는 한 번도 저를 실망시키지 않는군요. 엄지척!",1,1,1,1,1,-1,-1
3,패들렛과 띵커벨 활용 잘 할 수 있어요 패들렛과 띵커벨 활용하고 있었으나 다양한 교과에 특히 독서 지도에 많이 활용 할 수 있게 되었어요,1,1,1,1,1,-1,-1
4,"필수 연수 부담 없이 편안하게 안전 연수 올 해 꼭 받아야 하는데, 부담 없이 편안한 마음으로 마쳤어요.~",1,1,1,1,1,-1,-1
5,"위대한 녀석들 기대를 너무 한 건지 기대를 너무 한 건지 너무 이상적인 내용만 전달하는 것 같습니다.
교사들의 이해를 너무 강조하는 것 같아 불편하네요.",0,-1,-1,-1,1,-1,-1
6,"지난 2022년 입시에 대한 내용을 주된 내용으로 하는 연수입니다. 지난 2022년 입시에 대한 내용을 주된 내용으로 하는 연수입니다.
현재 2024입시가 코앞인데요.. 연수내용은 2022입시를 주된 내용으로 하는 연수라니요.. 연수 내용도 자소서 등 이제 필요없는 내용을 다루고 있습니다. 최신 내용으로 업그레이드하지 않고 그냥 계속 연수강좌를 오픈하고 있다니 연수비가 아까웠습니다.",1,-1,-1,-1,1,-1,-1
7,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업 연수 후기 제목을 보고 평소에 많이 들어본 것이라 어떻게 접목을 할 수 있을까 고민을 하다 들었는데, 역시 괜찮았어요..
추천합니다.",1,1,1,1,1,-1,-1
8,상식을 확실로... 상식적으로 대충 알고 있는 영어를 확실하게 재정립했습니다.,1,1,1,1,1,-1,-1
9,과정중심 평가에 대해 알게되었어요 과정중심 평가에 대해 조금 더 알게되었어요,1,1,1,1,1,0,-1
10,"문해력 강의. 들을만합니다. 국어 교과는 '국어' 과목 뿐만 아니라 다른 교과에서도 쓰이는 학습 도구의 기능을 수행합니다. 그래서 문해력이 떨어지는 이 시대의 아이들에게 국어 교사의 역할은 막중한 것 같습니다. 저 또한 부진학생들을 가르쳐야하는 국어교사인데, 어떻게 가르쳐야 잘 가르치는 것인지 고민이 많았습니다. 이번 연수를 통해 제가 그 역할을 조금 더 잘 수행할 수 있기를 바랍니다",1,1,1,1,1,-1,-1
11,"유익한 연수 요즘 부쩍 생활지도의 어려움을 많이 느낀다.
이번 연수를 통해 다시 한번 그 아이들을 이해하고 노력해보는 계기가 되었다.",1,1,1,1,1,-1,-1
12,"조승연의 비법 특강 읽기, 쓰기 강좌는 쉽고 재미있으며 와닿았습니다. 아쉬운 점은 공부 방법이 새로우면서도 공감이 안 되는 부분이 있었습니다.",1,1,-1,1,1,0,-1
13,큰별쌤 최태성의 별★별한국사 한국사 내용을 체계적으로 들을 수 있어서 좋았지만 내용외에 재미있게 지도하는 지도 방법이 소개 되었으면 합니다.,1,1,1,1,1,-1,-1
14,흥미로운 연수 화가들이 활동한 시대적 배경의 이해를 통해 작품을 이해할 수 있는 의미 있는 연수였습니다.,1,1,1,1,1,-1,-1
15,유익한 연수 수업에 활용도가 많은 유익하고 좋은 즐거운 연수입니다. 감사합니다~,1,1,1,1,1,-1,-1
16,"요즘 트렌트 생각보다 빠르게 격변하는 트렌트 환경에 잘 적응할 수 있게 도와주는 연수라 시기 적절하다고 생각한다.
다만 양이 다소 많아 깊이보단 이해에 초점을 두었던 점이 약간 아쉽다",0,1,0,1,1,-1,-1
17,"훌륭한 강사님들을 통한 실제적인 사례 중심으로 훌륭한 강사님들의 실제적인 사례 중심으로 이루어지는 강의가 큰 도움이 되었고, 우리 학교 공간혁신사업이 시작되기 전 들었으면 tf 위원으로서 더 많은 도움을 받았을 것 같다.",1,1,1,1,1,-1,-1
18,믿고 듣는 연수 정재승 교수의 연수라서 오픈되자 마자 신청을 해서 아주 열심히 들었습니다. 너무나 유익하고 새로운 것을 알게 된 연수여서 주변 사람들에게 추천하고픈 연수네요.,1,1,0,1,1,-1,-1
19,유익한 연수 유익한 연수입니다. 추천합니다.,1,1,0,1,1,-1,-1
20,교사의 건강한 생활 습관 형성에 도움이 되는 연수입니다. 교사의 건강한 생활 습관 형성에 도움이 되는 연수입니다. 더불어 미술작품에 대한 이해도 높일 수 있습니다.~^^*,1,1,1,1,1,-1,-1
21,편안하면서도 유익한 내용이었습니다. 들을만한 가치가 있는 연수입니다.,1,1,1,1,1,-1,-1
22,힐링이 되는 연수 여름방학에 정말 힐링이 되는 연수입니다. 지난날 갔던 곳이 세계문화유산인 줄 모르고 갔던 곳을 다시 영상으로 보니 너무 반갑네요. 세계문화유산 중 아직 안가본 곳이 많은데 목표가 생겼네요. 세계문화유산 답사하기로...,1,1,-1,1,1,-1,-1
23,"신나는 학급을 만들기 위한 유익한 연수 항상 학생들이 오고 싶은 학교, 학급을 만들고 싶은 소망이 있습니다. 이를 위해 다양한 고민을 하고 있는데 이 고민을 해결하는데 큰 도움이 되었습니다. 다른 선생님들께도 추천드립니다.",1,1,0,1,1,-1,-1
24,남자 아이들 남학생과 여학생의 특징을 비교하여 남학생의 행동 양식을 이해하는 데 도움이 됩니다.,1,1,0,1,1,-1,-1
25,영어 수업 평소 영어를 사용할 수 없는 환경에서 생활하는데 영어 수업을 하려니 입에 붙지 않는 영어로 인해 답답했는데 평소 좋아하는 내셔널 지오그래픽을 이용한 영어 연수 좋았습니다.,1,1,-1,1,1,-1,-1
