,text,score,jaehyeong/koelectra-base-v3-generalized-sentiment-analysis,klue/bert-base,matthewburke/korean_sentiment,monologg/koelectra-base-v2-discriminator,skt/kogpt2-base-v2,beomi/kcbert-large
0,법정연수 유용하네요 의무적으로 해마다 듣는 연수인데 다른 강사에게 듣고 싶어 신청했는데 연수 들을만 했어요,1,1,0,1,0,0,0
1,"독립운동에 관한 지식 쌓기 독립운동에 대해서 알고, 학생 대상으로 수업하기 좋았습니다. 추천합니다.",1,1,0,1,0,0,0
2,삶을 바꾸는 사회수업 주제통합 질문과 상상으로 진행하기 사회 교과서 개정되고 학습량은 많은데 학생들이 이해하기쉽게 주제통합 수업을 진행하고 싶어서 연수를 들었어요. 질문과 상상으로 사회수업을 진행해보는 도전을 할 수 있게 도움이 되었네요,1,1,0,1,0,0,0
3,"영어 회화가 막막한 선생님들께 유익한 연수! 영어가 너무 오랜만이시거나 일상생활에서 많이 사용하는 영어 회화부터 마스터하고 싶으신 분들께 추천해요!
영어를 평상시에 공부하셨던 분들은 너무 쉬울 것 같고,
숙어, 유용한 표현, 동사가 사용되는 예시 등을 자세히 알 수 있어서 기초편으로는 딱인 것 같습니다~",1,1,0,1,0,0,0
4,"독서교육을 해보고 싶어지게 만드는 연수!!! 아이를 키우며 그림책과 동화책에 관심을 갖게 되었다.
감동적이고 재미있는 책들을 보면서 그냥 읽기에는 아깝고 아이들과 이 내용을 알차게 나눌 수 있는 방법들을 혼자 생각해보다가
아무래도 혼자하려니 한계가 있어 연수를 찾아보게 되었다.
들을 때마다 빨리 아이들과 함께 읽고 나누고 싶다는 설렘을 느끼게 될 정도로 유익하고 알찬 정보가 가득한 연수였다.
왜 독서교육이 필요한지, 독서를 어떻게 하면 좋을지, 독서를 싫어하는 아이들에게는 어떻게 접근하면 좋을지, 독서 후에 할 수 있는 활동은 무엇인지.... 짜임새 있으면서 짧은 시간 강의에 핵심만 들어있어서 어느 한 강좌도 흘려듣지 않았다.
요즘 학교에서 한권읽기 등 독서교육을 많이 하고 있는데
경험이 없어 어떻게 해야할지 감이 잡히지 않는 선생님들께 추천하고싶다.
나아가 다양한 활동을 통해 수업을 업그레이드 하고 싶은 분들께도 추천하고 싶다.",1,1,0,1,0,0,0
5,"역사로 현재를 묻다 조선왕들의 역사를 통하여 현재를 묻는 거울이 된다.
균형있는 강의 내용과 치우침이 없는 중립적인 관점이 역사를 공부하는 나에게 큰 귀감이 되었다.",1,1,0,1,0,0,0
6,잘못 알고 있던 상식을 제대로 알 수 있는 계기가 되었어요 잘못 알고 있던 의학 상식들을 제대로 알 수 있어 좋았어요,1,1,0,1,0,-1,0
7,솔직히 말씀드리자면 내용도 올드하고 음향은 정말 듣기 힘들었습니다. 비추천합니다. 새로울 것 없는 내용과 화질 안 좋은 것은 참겠는데 음향은 정말 괴로웠어요.,0,-1,0,-1,0,0,0
8,"정말 좋았습니다! 그동안 영어 연수 많이 받았었는데, 1강부터 30강까지 이렇게 열심히 들은 연수는 없었던 것 같아요. 패턴을 따라하다보면 뭔가 막 잘 말할수 있을것 같고 그런 느낌이 들었습니다. 몇 번 더 복습하면 저도 자연스럽게 대화할수 있겠죠???",1,1,0,1,0,0,0
9,연주도 하고 힐링도 하고 칼림바 연수에서 칼림바와 악보를 선물로 받았습니다. 학생들이 음악 강사와 칼림바 수업을 할 때 별 생각 없이 교실에 앉아 있었는데 이번에 티셀파 연수원에 수업이 있어서 수강하게 되었습니다.칼림바에 대해서 알고 간단한 연주도 하고 반주를 넣어서^^ 연주도 할 수 있게 되어 신기했어요. 강사님이 연주 하시는 곡을 들으며 요즘 마음이 많이 다운되어 있었는데 힐링 되는 느낌이었구요. 천천히 또 친절하게 알려주시고 연주해 주셔서 부담없이 들을 수 있는 좋은 강의였습니다.,1,1,0,1,0,0,0
10,즐겁고 재미있는 강의였습니다. 감사합니다.,1,1,0,1,0,0,0
11,유익한 연수 막연한 의학 용어와 지식을 제대로 알게 되는 기회가 되었습니다. 들은 내용을 토대로 건강 관리에 힘쓰겠습니다. 감사합니다.,1,1,0,1,0,0,0
12,"한 번에 끝내는 법정연수, 추천~ 매년 들어야 하는 법정연수이지만 조금이라도 더 귀에 쏙쏙 들어오게 해 주는 강의가 감사합니다. T셀파는 그런 면을 잘 고려하여 만들어 주시네요. 이왕이면 귀에 쏙쏙! 머리에 쏙쏙! 들어오도록 구성을 만들고 강의력 좋은 강사님이 좋죠! T셀파 감사합니다. ^^",1,1,0,1,0,0,0
13,잘 들었습니다. 다양한 구성이 듣기 좋았습니다.,1,1,0,1,0,0,0
14,어린이 생활세계로 열어가는 사회 교과서 이야기 추천~! 5학년을 여러해 담임하고 있습니다. 같은 학년을 반복해 하다보니 사회 과목은 아주 잘 가르칠 것 같지만... 꼭 그렇지도 않네요. 다양한고 재미있는 활동 중심으로 업그레이드 하고 싶어 이 연수를 듣게 되었습니다. 역시 듣기를 잘 했네요. 배움은 끝이 없는 것 같습니다. ^^ 감사합니다!,1,1,0,1,0,0,0
15,"자존감 수업 학생의 자존감을 키원주는 수업 방법도 좋았지만, 교사의 자존감을 강하게 하는 방법을 알게 된 점도 좋았습니다.",1,1,0,1,0,0,0
